Booth ,Dims ,Size ,X Coords,Y Coords
2219,10'x20',200,630',90'
2225,10'x20',200,630',120'
2229,10'x20',200,630',140'
2233,10'x20',200,630',160'
2237,10'x20',200,630',180'
2243,10'x10',100,630',210'
2245,10'x10',100,630',220'
2247,10'x10',100,630',230'
2249,10'x10',100,630',240'
2251,10'x10',100,630',250'
2253,10'x10',100,630',260'
2255,10'x10',100,630',270'
2311,15'x15',225,650',45'
2315,15'x15',225,650',70'
2321,15'x15',225,650',95'
2325,15'x15',225,650',120'
2331,15'x15',225,650',145'
2335,15'x15',225,650',170'
2339,15'x15',225,650',195'
